priref,Object Number,Object Name,Scientific Name,Description,Collector Name,Collection Place,OS Grid Ref,Stratigraphy Unit,Stratigraphy Type,Image URL,Latitude,Longitude
56827,G.14941,Gastropod,Loxonema sinuosa,Fossilised remains of the Silurian gastropod Loxonema sinuosa. Found at Upper Millichope.,"Wood, B.",Upper Millichope,SO520890,Silurian Period; Ludlow Series; Middle Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14941.jpg,52.49642462983458,-2.707113549219267
56828,G.14942,Gastropod,Loxonema sinuosa,Fossilised remains of the Silurian gastropod Loxonema sinuosa. Found at Upper Millichope.,"Wood, B.",Upper Millichope,SO520890,Silurian Period; Ludlow Series; Middle Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14942.jpg,52.49642462983458,-2.707113549219267
56851,G.14950,Gastropod,Loxonema sp.,Fossilised remains of the Silurian gastropod Loxonema sp. Found at Upper Millichope.,"Cheese, A.; Carter, Suzanne",Upper Millichope,SO520890,Silurian Period; Ludlow Series; Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14950a.jpg,52.49642462983458,-2.707113549219267
56855,G.14953,Gastropod,Loxonema sp.,"Fossilised remains of the Silurian gastropod Loxonema sp. Found at locality 33, mortimer Forest, near Ludlow.",unknown,Mortimer Forest,SO490740,Silurian Period; Ludlow Series; Lower Leintwardine Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14953.jpg,52.36129758577947,-2.749014639046723
56894,G.14960,Gastropod,Loxonema sp.,"Fossilised remains of the Silurian gastropod Loxonema sp. Found at locality 33, Mortimer Forest, near Ludlow.","Smith, R.",Mortimer Forest,SO490740,Silurian Period; Ludlow Series; Lower Leintwardine Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14960.jpg,52.36129758577947,-2.749014639046723
56900,G.14962.001,Gastropod,Loxonema sp.,Fossilised remains of the Silurian gastropod Loxonema sp. Preserved as internal cast. Found at Grange quarry.,Whiteman,Grange Quarry,unknown,Silurian Period; Wenlock Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14962.001.jpg,null,null
56937,G.14978.001,Gastropod,Cyclonema sp.,"Fossilised shell remains of the Silurian gastropod Cyclonema sp. found at Grange Quarry, Eardington near Bridgnorth, Shropshire.","Whiteman, Mr & Mrs",Grange Quarry; Eardington; Bridgnorth,unknown,Silurian Period; Wenlock Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14978.001.jpg,null,null
56938,G.14978.002,Gastropod,Cyclonema sp.,"Fossilised shell remains  of the  Silurian gastropod Cylonema sp. found at Grange Quarry, Eardington near Bridgnorth, Shropshire.","Whiteman, Mr & Mrs",Grange Quarry; Eardington; Bridgnorth,unknown,Silurian Period; Wenlock Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14978.002.jpg,null,null
56955,G.14983,Gastropod,Turbo sp.,"Fossilised shell of Silurian gastropod Turbo sp. found in Mortimer Forest, Ludlow.","Snape, M.",Mortimer Forest,SO490740,Silurian Period; Ludlow Series; Middle Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14983.jpg,52.36129758577947,-2.749014639046723
57032,G.16046,Gastropod,Poleumita discors,"Fossilised shell remains of Silurian gastropod, Poleumita discors found at Wrens Nest, Dudley.","Phillips, N. M.","Wren's Nest, Dudley",unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16046.jpg,null,null
57060,G.16223,Gastropod,Poleumita discors,Fossilised shell remains of the Silurian gastropod Poleumita discors found in the Much Wenlock district Shropshire.,unknown,Much Wenlock area,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16223.jpg,null,null
57065,G.16227,Gastropod,Poleumita discors,"Fossilised shell remains of the Silurian gastropod Poleumita discors found in Farley Quarry, Shropshire.",unknown,Farley Quarry,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16227.jpg,null,null
57071,G.16228,Gastropod,Poleumita discors,Fossilised shell remains of the Silurian gastropod Poluemita discors found on Wenlock Edge Shropshire,unknown,Wenlock Edge,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16228.jpg,null,null
57076,G.16233,Gastropod,Poluemita discors,Incomplete specimen of the Silurian gastropod Poluemita discors. Found at Farley Quarry.,unknown,Farley Quarry,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16233.jpg,null,null
57109,G.16252,Gastropod,Poleumita sp.,Fossilised shell remains of the Silurian gastropod Poleumita sp. found at Farley Quarry.,unknown,Farley Quarry,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16252.jpg,null,null
57139,G.16267,Gastropod,Poleumita sp.,Fossiled shell remains of the Silurian gastropod Poleumita sp. found at Rubery.,"Phillips, N.M.",Rubery,unknown,Silurian Period; Llandovery Series; Rubery Sandstone,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16267.jpg,null,null
57144,G.16271,Gastropod,Poleumita sp.,Fossilised remains of the Silurian gastropod Poluemita sp. Found at Walcott.,unknown,Walcot,unknown,Silurian Period; Ludlow Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16271.jpg,null,null
57157,G.16275,Gastropod,Poleumita sp.,"Fossilised shell remains of the Silurian gastropod Poleumita sp. found in Ludlow, Shropshire.",unknown,Ludlow,unknown,Silurian Period; Bringewood Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16275.jpg,null,null
57180,G.16285,Gastropod,Poleumita sp.,Fossilised shell remains of the Silurian gastropod Poleumita sp. found at Burrington,unknown,Burrington,unknown,Silurian Period,Chronostratigraphy; Biostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16285.jpg,null,null
57220,G.16299.001,Gastropod,Poleumita funatus,Fossilised shell remains of the Silurian gastropod Poluemta funatus found at Farley Quarry Shropshire,unknown,Farley Quarry,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16299.jpg,null,null
57238,G.16301.006,Gastropod,Poleumita funatus,Fossilised shell remains of the Silurian gastropod Poleumita funatus found at Farley Quarry.,"Wood, B.J.",Farley Quarry,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16301.jpg,null,null
57299,G.16322,Gastropod,Liospira sp.,Fossilised shell remains of the Silurian gastropod Liospira sp. found at Bringewood.,"Wood, B.J.",Bringewood,unknown,Silurian Period; Upper Bringewood Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16322.jpg,null,null
57305,G.16324,Gastropod,Liospira sp.; Gastropod,Fossilised remains of the Silurian gastropod Liospira sp. Found at Burrington.,unknown,Burrington,unknown,Silurian Period; Wenlock Series; Coalbrookdale Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16324.jpg,null,null
57314,G.16327.001,Gastropod,Murchisonia coralii,"Fossilised remains of the Silurian gastropod Murchisonia coralii found at High Vinnals, Ludlow.","Wood, B.J.",High Vinnalls,unknown,Silurian Period; Leintwardine Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16327.001.jpg,null,null
57315,G.16327.002,Gastropod,Murchisonia coralii,"Fossilised shell remains of the Silurian gastropod Murchisonia coralii found at High Vinnals, Mortimer Forest, Ludlow.",unknown,High Vinnalls,unknown,Silurian Period; Leintwardine Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16327.002.jpg,null,null
57322,G.16329,Gastropod,Murchisonia sp.,"Fossilised remains of the Silurian gastropod Murchisonia sp. found at Wrens Nest, Dudley.","Rowlands, Maggie","Wren's Nest, Dudley",unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16329.jpg,null,null
57344,G.16334,Gastropod,Platyceras sp.; Gastropod,"Fossilised remains of the Silurian gastropod Platyceras sp, Found at Farley.",unknown,Farley,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16334.jpg,null,null
57470,G.16369,Gastropod,Bellerophon sp.,Fossilised remains of the Silurian gastropod Bellerophon sp.,unknown,Unknown,unknown,Silurian Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16369.jpg,null,null
57472,G.16371,Gastropod,Bellerophon sp.,Fossilised shell remains of the Silurian gastropod Bellerophon sp.,unknown,Unknown,unknown,Silurian Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16371.jpg,null,null
57473,G.16372,Gastropod,Bellerophon sp.,Fossilised shell remains of the Silurian gastropod Bellerophon sp.,unknown,Unknown,unknown,Silurian Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16372.jpg,null,null
57560,G.16389,Cricoconarida,Tentaculites sp.,Assemblage of Silurian fossils including the remains of the cricoconarid Tentaculites sp. Found at Wren's Nest.,"Phillips, N.M.",Wren's Nest,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16389.jpg,null,null
57582,G.16390,Cricoconarida,Tentaculites sp.; Cricoconarida,Fossilised remains of the Silurian cricoconarid Tentaculites sp. Found at Rubery.,unknown,Rubery,unknown,Silurian Period; Llandovery Series; Rubery Sandstone,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16390.jpg,null,null
57585,G.16392,Trace fossil,Planolites; Chondrites,"Silurian trace fossils Planolites and Chondrites, probably produced by burrowing annelids. Found at Gullet Quarry.","Krause, J.; Norton, W.J.",Gullet Quarry,unknown,Silurian Period; Llandovery Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16392.jpg,null,null
57671,G.16411.001,Cricoconarida,Cornulites serpularius,"Fossilised remains of the Silurian cricoconarida Cornulites serpularius found at Whitcliffe, Ludlow. Counterpart of G.16411.002.","Fraser, Nicola",Whitcliffe,SO490740,Silurian Period; Lower Whitcliffe Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16411.001.jpg,52.36129758577947,-2.749014639046723
655587,G.16411.002,Cricoconarida,Cornulites serpularius,"Fossilised remains of the Silurian cricoconarida Cornulites serpularius found at Whitcliffe, Ludlow. Counterpart of G.16411.001.","Fraser, Nicola",Whitcliffe,SO490740,Silurian Period; Lower Whitcliffe Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.16411.002.jpg,52.36129758577947,-2.749014639046723
